tweets,date,city,user_location,id,link
"#DeportesRCN |Es tercero de la general| 

Egan Bernal protagonizó una carrera magistral. Atacó, sacó ventaja y llegó segundo. Al final,  Gino Mader aprovechó la fuga y ganó la sexta fracción del Giro de Italia 2021.

#NuestroCiclismo 
   https://t.co/Zn36zuSvm9",2021-05-13 15:29:53,Bogotá,"Bogotá, Colombia",1392864683217068039,https://twitter.com/i/web/status/1392864683217068039
"🇨🇴Gran actuación de Egan Bernal llegando segundo en la etapa de hoy en el Giro de Italia. El escarabajo se ve sólido, al parecer los dolores de espalda están superados. Ascendió al tercer puesto de la clasificación general. De los favoritos, Egan ha sido el único que ataca. https://t.co/Br0LYZD7rW",2021-05-13 15:29:08,Bogotá,Manizales,1392864494754336769,https://twitter.com/i/web/status/1392864494754336769
Egan Bernal brilló en la etapa 6 del Giro de Italia y ya es tercero de la general https://t.co/CgawkYZkPP,2021-05-13 15:29:04,Bogotá,Bogotá,1392864479189291008,https://twitter.com/i/web/status/1392864479189291008
"#Giro | 🚴‍♂️🇮🇹💗🇨🇴 ¡ETAPÓN DE EGAN!
Egan Bernal segundo en la 6a etapa del Giro de Italia 2021 y ahora tercero en la CG de la Maglia Rosa 🚴‍♂️🇨🇴🏆💗💪👏

#VamosEscarabajos #VamosEgan #Ciclismo #Colombia 

📸 @INEOSGrenadiers https://t.co/KDBpdinAB3",2021-05-13 15:28:42,Bogotá,"Bogota, Colombia",1392864384293146627,https://twitter.com/i/web/status/1392864384293146627
"A kilómetro y medio del final, el joven maravilla dijo ""acá estoy yo"" y llegó segundo en la sexta etapa  https://t.co/hVo5EBIkXS https://t.co/Ml3yduFmel",2021-05-13 15:27:27,Bogotá,Bogotá,1392864072530636802,https://twitter.com/i/web/status/1392864072530636802
"#Giro | 🚴‍♂️🇮🇹💗🇨🇴 ¡ETAPÓN DE EGAN!
Egan Bernal segundo en la 6a etapa del Giro de Italia 2021 y ahora tercero en la CG de la Maglia Rosa 🚴‍♂️🇨🇴🏆💗💪👏

#VamosEscarabajos 
https://t.co/cxTyf4zuL1",2021-05-13 15:27:16,Bogotá,"Bogota, Colombia",1392864025143300102,https://twitter.com/i/web/status/1392864025143300102
¡Golpea el Ineos! 🇨🇴🔥🚴‍♂️Egan Bernal otra vez comandó el ataque en los favoritos y ya se metió al podio de la general en el Giro de Italia ➡️➡️ https://t.co/8GamOAK0X6 https://t.co/lLrXUYOAaz,2021-05-13 15:26:56,Bogotá,Bogotá. Colombia,1392863941211066373,https://twitter.com/i/web/status/1392863941211066373
"Buena etapa de @Eganbernal en el Giro de Italia, y subió al 3er lugar de la general grande #eganbernal",2021-05-13 15:26:13,Bogotá,Bogotá,1392863763284611072,https://twitter.com/i/web/status/1392863763284611072
VIDEO | Carro atropella a ciclista en la etapa 6 del Giro de Italia https://t.co/sjA9G8TAA4,2021-05-13 15:25:18,Bogotá,Bogotá,1392863531704459265,https://twitter.com/i/web/status/1392863531704459265
"Otra buena actuación de Egan Bernal en el Giro de Italia. Cruza la meta segundo, y pasa del 10° puesto al tercero. Se pone a 16"" de Attila Valter, líder de la general. Y no descartemos a Dani Martínez, que dinamitó el pelotón en los metros finales.",2021-05-13 15:25:03,Bogotá,"Bogotá, D.C., Colombia",1392863466369830927,https://twitter.com/i/web/status/1392863466369830927
"Con el segundo lugar en la sexta etapa, Egan Bernal, ahora es tercero en la general del Giro de Italia. Attila Valter es el nuevo líder.",2021-05-13 15:24:24,Bogotá,Bogotá- Colombia,1392863305845313539,https://twitter.com/i/web/status/1392863305845313539
"¡Atención! Egan Bernal, segundo en la etapa, y más cerca del liderato. La etapa de este jueves del Giro de Italia fue el primer final en alto de la carrera. Así le fue al colombiano 👉 https://t.co/o1qr2eUsBX https://t.co/DmZ9QfTQ0t",2021-05-13 15:23:36,Bogotá,"Bogotá, Colombia",1392863103465963522,https://twitter.com/i/web/status/1392863103465963522
Egan Bernal ya es tercero en el Giro de Italia. Hoy fue segundo en la etapa !!!!,2021-05-13 15:22:54,Bogotá,Bogotá,1392862927632445440,https://twitter.com/i/web/status/1392862927632445440
"#Giro | 🚴‍♂️🇮🇹💗 VICTORIA para Gino Mader (@BHRVictorious) en la 6a etapa del Giro de Italia 2021. 

🚴‍♂️🇨🇴 ESPECTACULAR ACTUACIÓN de Egan Bernal, segundo en la etapa y de nuevo sumando tiempo valioso sobre todos sus rivales🚴‍♂️🇨🇴

#VamosEscarabajos https://t.co/3skT4Cmuug",2021-05-13 15:21:51,Bogotá,"Bogota, Colombia",1392862663844241411,https://twitter.com/i/web/status/1392862663844241411
En una gran actuación el colombiano Egan Bernal fue segundo en la sexta etapa del Giro de Italia este jueves donde se impuso el suizo Gino Madrr (Bahrain).,2021-05-13 15:18:46,Bogotá,Bogotá- Colombia,1392861884915847169,https://twitter.com/i/web/status/1392861884915847169
Golpe de Egan Bernal en Giro de Italia https://t.co/5DQOUOikBC,2021-05-13 15:18:08,Bogotá,"Bogotá, Colombia",1392861727776247810,https://twitter.com/i/web/status/1392861727776247810
"Bien Egan, segundo en la etapa del Giro de Italia y mostrándose fuerte. 
#Giro2021",2021-05-13 15:17:48,Bogotá,Bogota,1392861643441311744,https://twitter.com/i/web/status/1392861643441311744
Gino Mader ganó la etapa 6 del Giro de Italia. Egan Bernal llegó segundo y le descontó seis segundos a Remco Evenepoel por la bonificación.,2021-05-13 15:17:42,Bogotá,Bogotá,1392861616081981444,https://twitter.com/i/web/status/1392861616081981444
#Giro | Egan Bernal llegó segundo en la meta y el tercero fue Dan Martin [EN VIVO] https://t.co/qCeEtMh0k9,2021-05-13 15:16:41,Bogotá,"Bogotá, D.C., Colombia",1392861360078327811,https://twitter.com/i/web/status/1392861360078327811
#Giro | Egan Bernal llegó segundo en la meta y el tercero fue Dan Martin [EN VIVO] https://t.co/3qnAkaUN1v,2021-05-13 15:16:35,Bogotá,Bogotá - Colombia,1392861336175005699,https://twitter.com/i/web/status/1392861336175005699
#Giro | Ganó Gino Mader la etapa 5 del Giro de Italia [EN VIVO] #EnVivo https://t.co/cvmYhDb9W6,2021-05-13 15:16:33,Bogotá,"Bogotá, D.C., Colombia",1392861330646966273,https://twitter.com/i/web/status/1392861330646966273
#Giro | Ganó Gino Mader la etapa 5 del Giro de Italia [EN VIVO] #EnVivo https://t.co/UhraEGUqjv,2021-05-13 15:16:30,Bogotá,Bogotá - Colombia,1392861315673346051,https://twitter.com/i/web/status/1392861315673346051
