palabra,peso,ciudad
todavía andas,0.14634146341463414,Armenia
andas buscando,0.14634146341463414,Armenia
buscando regalo,0.14634146341463414,Armenia
regalo derrochan,0.14634146341463414,Armenia
derrochan estilo,0.14634146341463414,Armenia
estilo selección,0.14634146341463414,Armenia
selección vestidos,0.14634146341463414,Armenia
vestidos encuentras,0.14634146341463414,Armenia
encuentras regalo,0.14634146341463414,Armenia
regalo seguro,0.14634146341463414,Armenia
seguro t,0.14634146341463414,Armenia
año,0.12195121951219512,Armenia
días,0.12195121951219512,Armenia
mejor,0.12195121951219512,Armenia
país,0.0975609756097561,Armenia
mierda,0.0975609756097561,Armenia
celebración,0.0975609756097561,Armenia
sigue,0.0975609756097561,Armenia
tan,0.0975609756097561,Armenia
familia,0.0975609756097561,Armenia
dice,0.0975609756097561,Armenia
nunca,0.0975609756097561,Armenia
rocío,0.0975609756097561,Armenia
padre,0.0975609756097561,Armenia
mayo,0.0975609756097561,Armenia
hija,0.0975609756097561,Armenia
joven,0.07317073170731707,Armenia
derechos,0.07317073170731707,Armenia
ahora,0.07317073170731707,Armenia
pa,0.07317073170731707,Armenia
mujer,0.07317073170731707,Armenia
gracias,0.07317073170731707,Armenia
lucha,0.07317073170731707,Armenia
siempre,0.07317073170731707,Armenia
creemos,0.07317073170731707,Armenia
domingo,0.07317073170731707,Armenia
ibague,0.07317073170731707,Armenia
h,0.07317073170731707,Armenia
u,0.07317073170731707,Armenia
dando,0.07317073170731707,Armenia
tiempo,0.07317073170731707,Armenia
menos,0.07317073170731707,Armenia
puede,0.07317073170731707,Armenia
sabes vas,0.07317073170731707,Armenia
vas regalarle,0.07317073170731707,Armenia
regalarle atenta,0.07317073170731707,Armenia
atenta selección,0.07317073170731707,Armenia
súper originales,0.07317073170731707,Armenia
originales imposible,0.07317073170731707,Armenia
imposible acertar,0.07317073170731707,Armenia
llorar llorar,0.07317073170731707,Armenia
pedir,0.04878048780487805,Armenia
colombia,0.04878048780487805,Armenia
ayer,0.04878048780487805,Armenia
después,0.04878048780487805,Armenia
hora,0.04878048780487805,Armenia
queda,0.04878048780487805,Armenia
cumpleaños,0.04878048780487805,Armenia
muchas,0.04878048780487805,Armenia
maravillosa,0.04878048780487805,Armenia
largo,0.04878048780487805,Armenia
digo,0.04878048780487805,Armenia
aplazar,0.04878048780487805,Armenia
peor,0.04878048780487805,Armenia
sale,0.04878048780487805,Armenia
barrio,0.04878048780487805,Armenia
recordando,0.04878048780487805,Armenia
vándalo,0.04878048780487805,Armenia
calle,0.04878048780487805,Armenia
luchar,0.04878048780487805,Armenia
casa,0.04878048780487805,Armenia
cabeza,0.04878048780487805,Armenia
final,0.04878048780487805,Armenia
puta,0.04878048780487805,Armenia
redes,0.04878048780487805,Armenia
pensando,0.04878048780487805,Armenia
quisiera,0.04878048780487805,Armenia
salir,0.04878048780487805,Armenia
m,0.04878048780487805,Armenia
solo,0.04878048780487805,Armenia
ojalá,0.04878048780487805,Armenia
defender,0.04878048780487805,Armenia
van,0.04878048780487805,Armenia
pag,0.04878048780487805,Armenia
momento,0.04878048780487805,Armenia
cada,0.04878048780487805,Armenia
tener,0.04878048780487805,Armenia
felicitado,0.04878048780487805,Armenia
diadelamadre,0.04878048780487805,Armenia
dios,0.04878048780487805,Armenia
rocíodeesperanza,0.04878048780487805,Armenia
carrasco,0.04878048780487805,Armenia
niña,0.04878048780487805,Armenia
dejado,0.04878048780487805,Armenia
sido,0.04878048780487805,Armenia
bueno,0.04878048780487805,Armenia
mala,0.04878048780487805,Armenia
libro,0.04878048780487805,Armenia
sabe,0.04878048780487805,Armenia
celebra,0.04878048780487805,Armenia
vender,0.04878048780487805,Armenia
pueblo,0.04878048780487805,Armenia
napoleón,0.04878048780487805,Armenia
díadelamadre,0.04878048780487805,Armenia
estambul,0.04878048780487805,Armenia
abril,0.04878048780487805,Armenia
f,0.04878048780487805,Armenia
pregunte,0.04878048780487805,Armenia
necesito,0.04878048780487805,Armenia
manizales,0.04878048780487805,Armenia
amor,0.04878048780487805,Armenia
tarde,0.04878048780487805,Armenia
b,0.04878048780487805,Armenia
noalareformatributaria,0.04878048780487805,Armenia
pie,0.04878048780487805,Armenia
fotografía,0.04878048780487805,Armenia
tomada,0.04878048780487805,Armenia
risaralda,0.04878048780487805,Armenia
despedir,0.024390243902439025,Armenia
salio,0.024390243902439025,Armenia
ejercer,0.024390243902439025,Armenia
empleo,0.024390243902439025,Armenia
sangre,0.024390243902439025,Armenia
causa,0.024390243902439025,Armenia
fortaleza,0.024390243902439025,Armenia
lucas,0.024390243902439025,Armenia
asesinado,0.024390243902439025,Armenia
pereira,0.024390243902439025,Armenia
alucaslomatoelgobierno,0.024390243902439025,Armenia
vuelto,0.024390243902439025,Armenia
echando,0.024390243902439025,Armenia
indirectazos,0.024390243902439025,Armenia
señora,0.024390243902439025,Armenia
nun,0.024390243902439025,Armenia
p,0.024390243902439025,Armenia
mzx,0.024390243902439025,Armenia
orden,0.024390243902439025,Armenia
cosas,0.024390243902439025,Armenia
hace,0.024390243902439025,Armenia
putísima,0.024390243902439025,Armenia
sentarse,0.024390243902439025,Armenia
terraza,0.024390243902439025,Armenia
enrearse,0.024390243902439025,Armenia
cervezas,0.024390243902439025,Armenia
copas,0.024390243902439025,Armenia
llegue,0.024390243902439025,Armenia
toque,0.024390243902439025,Armenia
enviaratodas,0.024390243902439025,Armenia
dañe,0.024390243902439025,Armenia
dondevivirblog,0.024390243902439025,Armenia
pronto,0.024390243902439025,Armenia
